,timeUS,lat,lon,alt
1083,67314509,-35.3632649,149.1652374,584.8499755859375
1084,67334502,-35.3632649,149.1652374,584.8499755859375
1085,67354496,-35.3632649,149.1652374,584.8499755859375
1086,67374489,-35.3632649,149.1652374,584.8499755859375
1087,67394482,0.0,0.0,0.0
1089,67414476,-35.3632649,149.1652374,584.85
1091,67434469,-35.3632649,149.1652374,584.8499755859375
1092,67454462,-35.3632649,149.1652374,584.8499755859375
1093,67474455,-35.3632649,149.1652374,584.8499755859375
1094,67494449,0.0,0.0,0.0
1096,67514442,-35.3632649,149.1652374,584.8499755859375
1097,67534435,-35.3632649,149.1652374,584.8499755859375
1098,67554428,-35.3632649,149.1652374,584.8499755859375
1099,67574422,-35.3632649,149.1652374,584.8499755859375
1100,67594415,0.0,0.0,0.0
1102,67614408,-35.3632649,149.1652374,584.85
1104,67634402,-35.3632649,149.1652374,584.8499755859375
1105,67654395,-35.3632649,149.1652374,584.8499755859375
1106,67674388,-35.3632649,149.1652374,584.8499755859375
1107,67694381,0.0,0.0,0.0
1109,67714375,-35.3632649,149.1652374,584.8499755859375
1110,67734368,-35.3632649,149.1652374,584.8499755859375
1111,67754361,-35.3632649,149.1652374,584.8499755859375
1112,67774355,-35.3632649,149.1652374,584.8499755859375
1113,67794348,0.0,0.0,0.0
1115,67814341,-35.3632649,149.1652374,584.85
1117,67834334,-35.3632649,149.1652374,584.8499755859375
1118,67854328,-35.3632649,149.1652374,584.8499755859375
1119,67874321,-35.3632649,149.1652374,584.8499755859375
1120,67894314,0.0,0.0,0.0
1122,67914308,-35.3632649,149.1652374,584.8499755859375
1123,67934301,-35.3632649,149.1652374,584.8499755859375
1124,67954294,-35.3632649,149.1652374,584.8499755859375
1125,67974287,-35.3632649,149.1652374,584.8499755859375
1126,67994281,0.0,0.0,0.0
1128,68014274,-35.3632649,149.1652374,584.85
1130,68034267,-35.3632649,149.1652374,584.8499755859375
1131,68054260,-35.3632649,149.1652374,584.8499755859375
1132,68074254,-35.3632649,149.1652374,584.8499755859375
1134,68094247,-35.3632649,149.1652374,584.8499755859375
1135,68114240,-35.3632649,149.1652374,584.8499755859375
1136,68134234,-35.3632649,149.1652374,584.8499755859375
1137,68154227,-35.3632649,149.1652374,584.8499755859375
1138,68174220,-35.3632649,149.1652374,584.8499755859375
1139,68194213,0.0,0.0,0.0
1141,68214207,-35.3632649,149.1652374,584.85
1143,68234200,-35.3632649,149.1652374,584.8499755859375
1144,68254193,-35.3632649,149.1652374,584.8499755859375
1145,68274187,-35.3632649,149.1652374,584.8499755859375
1147,68294180,-35.3632649,149.1652374,584.8499755859375
1148,68314173,-35.3632649,149.1652374,584.8499755859375
1149,68334166,-35.3632649,149.1652374,584.8499755859375
1150,68354160,-35.3632649,149.1652374,584.8499755859375
1151,68374153,-35.3632649,149.1652374,584.8499755859375
1152,68394146,0.0,0.0,0.0
1154,68414140,-35.3632649,149.1652374,584.85
1156,68434133,-35.3632649,149.1652374,584.8499755859375
1157,68454126,-35.3632649,149.1652374,584.8499755859375
1158,68474119,-35.3632649,149.1652374,584.8599853515625
1160,68494113,-35.3632649,149.1652374,584.8599853515625
1161,68514106,-35.3632649,149.1652374,584.8599853515625
1162,68534099,-35.3632649,149.1652374,584.8699951171875
1163,68554092,-35.363265,149.1652374,584.8900146484375
1164,68574086,-35.3632651,149.1652374,584.9099731445312
1165,68594079,0.0,0.0,0.0
1167,68614072,-35.363265,149.1652374,584.9
1169,68634066,-35.3632655,149.1652374,585.0499877929688
1170,68654059,-35.3632658,149.1652374,585.1300048828125
1171,68674052,-35.3632661,149.1652374,585.219970703125
1173,68694045,-35.3632664,149.1652374,585.3300170898438
1174,68714039,-35.3632669,149.1652374,585.4600219726562
